id,age,anciennete,satisfaction,salaire,depart,promotions_recues,annees_depuis_derniere_promotion,jours_absence,niveau_etude,type_poste,type_contrat,departement
1,60,15,0.76,42667,0,1,2,17,Doctorat,Commercial,CDD,Finance
2,50,10,0.55,41000,0,2,0,9,Bac,Commercial,CDI,Finance
3,36,31,0.43,34719,0,0,0,20,Licence,Commercial,CDD,Ventes
4,29,5,0.2,32445,1,0,1,7,Bac,Manager,CDD,Production
5,42,32,0.76,63135,0,3,9,29,Master,Manager,CDI,Finance
6,60,17,0.39,38776,0,1,5,29,Licence,Technicien,CDI,Ventes
7,40,12,0.34,67323,1,1,1,3,Master,Commercial,CDD,Production
8,44,9,0.69,45289,0,3,5,29,Bac,Technicien,CDD,IT
9,32,25,0.6,39419,1,1,0,17,Licence,Technicien,CDI,Production
10,32,16,0.43,35900,1,1,8,2,Licence,Commercial,CDD,Finance
11,45,0,0.68,54403,1,1,6,2,Master,Technicien,CDD,Finance
12,57,24,0.34,56298,1,3,0,24,Doctorat,Technicien,CDD,Production
13,45,33,0.82,55156,1,3,8,28,Licence,Technicien,CDI,Ventes
14,24,9,0.31,65365,0,2,8,11,Bac,Technicien,CDD,Production
15,43,19,0.24,52037,1,1,9,18,Licence,Manager,CDD,Finance
16,23,6,0.8,33009,1,2,5,16,Master,Technicien,CDD,Finance
17,45,15,0.74,35235,1,4,1,22,Bac,Commercial,CDI,RH
18,51,28,0.26,54091,1,4,1,16,Licence,Technicien,CDI,Ventes
19,59,11,0.2,68726,0,1,7,21,Master,Commercial,CDD,RH
20,23,16,0.85,66056,0,0,8,25,Master,Commercial,CDI,Finance
21,42,19,0.8,66904,0,4,3,3,Doctorat,Manager,CDI,Ventes
22,54,25,0.39,39195,0,0,1,6,Master,Manager,CDI,Ventes
23,33,18,0.69,67374,1,2,4,22,Master,Technicien,CDD,Ventes
24,43,11,0.21,54248,1,1,6,6,Doctorat,Technicien,CDD,Production
25,46,20,0.56,54226,1,2,3,29,Doctorat,Directeur,CDI,Production
26,48,33,0.12,48779,0,2,8,21,Doctorat,Technicien,CDI,Finance
27,49,6,0.45,38666,1,3,3,6,Doctorat,Directeur,CDI,Ventes
28,37,14,0.17,48379,0,1,7,7,Master,Directeur,CDI,Ventes
29,36,0,0.53,59709,1,3,2,18,Bac,Manager,CDD,Ventes
30,24,25,0.48,69266,1,2,5,20,Master,Commercial,CDI,Production
31,58,24,0.5,58818,0,0,5,29,Master,Directeur,CDD,Finance
32,28,14,0.14,68537,1,1,2,25,Licence,Technicien,CDI,Ventes
33,42,21,0.43,58949,1,1,1,26,Bac,Directeur,CDI,Ventes
34,30,5,0.78,53853,1,4,5,8,Master,Manager,CDI,IT
35,60,14,0.43,62195,1,0,6,23,Licence,Directeur,CDD,RH
36,39,23,0.74,49997,1,0,6,21,Bac,Directeur,CDI,Production
37,25,20,0.43,63870,0,2,9,28,Bac,Directeur,CDD,IT
38,46,6,0.48,62114,1,2,0,8,Master,Directeur,CDI,Finance
39,35,28,0.61,69588,1,2,5,13,Bac,Directeur,CDI,RH
40,30,31,0.96,57871,0,4,8,25,Licence,Directeur,CDD,Finance
41,47,31,0.2,29961,1,0,8,28,Bac,Directeur,CDI,Production
42,23,4,0.13,65380,1,3,1,20,Master,Manager,CDD,Finance
43,41,3,0.65,33690,1,0,3,17,Doctorat,Technicien,CDI,Ventes
44,49,21,0.95,43168,1,3,5,8,Master,Manager,CDD,Ventes
45,28,17,0.99,33458,1,1,3,29,Doctorat,Directeur,CDD,Finance
46,29,16,0.54,54942,1,3,8,4,Licence,Directeur,CDD,Finance
47,56,23,0.52,38033,0,1,1,7,Bac,Commercial,CDD,Finance
48,35,1,0.68,36047,0,2,9,23,Licence,Manager,CDI,Finance
49,38,12,0.6,32902,1,0,5,3,Bac,Directeur,CDD,Ventes
50,57,14,0.67,29496,1,2,0,19,Bac,Commercial,CDD,IT
51,25,4,0.89,55664,1,0,8,13,Bac,Manager,CDD,IT
52,23,2,0.77,32582,1,3,0,16,Doctorat,Directeur,CDI,Finance
53,27,2,0.55,57482,1,0,7,20,Bac,Commercial,CDD,Finance
54,25,22,0.52,62811,0,3,8,15,Doctorat,Commercial,CDI,RH
55,50,27,0.68,64144,1,0,0,8,Master,Directeur,CDI,Finance
56,39,29,0.51,69476,0,1,0,27,Doctorat,Technicien,CDD,IT
57,47,17,0.51,59872,1,3,9,4,Master,Directeur,CDD,Production
